;Akeywords_lemma;Akeywords_pos
60000481;[('galaxy', 4541), ('model', 3755), ('analysis', 3058), ('cell', 2800), ('disease', 2474), ('system', 2449), ('star', 2358), ('cancer', 1965), ('method', 1785), ('structure', 1608), ('control', 1589), ('protein', 1529), ('individual', 1522), ('general', 1367), ('cluster', 1365), ('network', 1313), ('heart', 1312), ('theory', 1257), ('process', 1218), ('factor', 1204), ('energy', 1202), ('dynamic', 1198), ('test', 1182), ('acid', 1181), ('muscle', 1180), ('syndrome', 1145), ('evolution', 1111), ('therapy', 1094), ('stress', 1080), ('function', 1068)];[(('galaxies', 'NNS'), 3901), (('analysis', 'NN'), 2893), (('stars', 'NNS'), 1871), (('cancer', 'NN'), 1781), (('model', 'NN'), 1702), (('disease', 'NN'), 1693), (('individual', 'JJ'), 1472), (('control', 'NN'), 1417), (('cell', 'NN'), 1371), (('general', 'JJ'), 1343), (('systems', 'NNS'), 1235), (('system', 'NN'), 1214), (('energy', 'NN'), 1191), (('methods', 'NNS'), 1154), (('cells', 'NNS'), 1035), (('clusters', 'NNS'), 1023), (('therapy', 'NN'), 1005), (('structure', 'NN'), 1000), (('physics', 'NNS'), 966), (('stress', 'NN'), 961), (('risk', 'NN'), 954), (('theory', 'NN'), 923), (('protein', 'NN'), 921), (('management', 'NN'), 908), (('data', 'NNS'), 895), (('evolution', 'NN'), 879), (('models', 'NNS'), 832), (('quality', 'NN'), 796), (('dynamics', 'NNS'), 794), (('activity', 'NN'), 780)]
60001400;[('italy', 9), ('memory', 8), ('age', 6), ('social', 5), ('environment', 4), ('mediterranean', 4), ('southern', 4), ('culture', 4), ('risk', 4), ('synthase', 4), ('analysis', 4), ('biodeterioration', 3), ('education', 3), ('history', 3), ('think', 3), ('region', 3), ('production', 3), ('conservation', 3), ('dna', 3), ('biofilm', 3), ('heritage', 3), ('personal', 3), ('data', 3), ('career', 3), ('professional', 3), ('function', 3), ('prospective', 3), ('learn', 3), ('word', 3), ('science', 3)];[(('memory', 'NN'), 8), (('italy', 'NN'), 5), (('social', 'JJ'), 5), (('southern', 'JJ'), 4), (('cultural', 'JJ'), 4), (('analysis', 'NN'), 4), (('biodeterioration', 'NN'), 3), (('production', 'NN'), 3), (('environments', 'NNS'), 3), (('conservation', 'NN'), 3), (('dna', 'NN'), 3), (('heritage', 'NN'), 3), (('mediterranean', 'JJ'), 3), (('personal', 'JJ'), 3), (('data', 'NNS'), 3), (('career', 'NN'), 3), (('aging', 'VBG'), 3), (('risk', 'VBP'), 3), (('prospective', 'JJ'), 3), (('synthase', 'NN'), 3), (('learning', 'VBG'), 3), (('approach', 'NN'), 3), (('italy', 'JJ'), 3), (('law', 'NN'), 3), (('bronze', 'NN'), 2), (('age', 'NN'), 2), (('education', 'NN'), 2), (('history', 'NN'), 2), (('thinking', 'VBG'), 2), (('emergency', 'NN'), 2)]
60001711;[('analysis', 438), ('model', 431), ('system', 368), ('control', 228), ('method', 222), ('test', 203), ('network', 177), ('energy', 175), ('power', 167), ('measurement', 164), ('particle', 156), ('robot', 149), ('element', 145), ('process', 145), ('design', 140), ('finite', 118), ('experiment', 113), ('antenna', 112), ('numerical', 107), ('simulation', 105), ('management', 103), ('material', 102), ('machine', 100), ('water', 99), ('current', 96), ('detection', 93), ('performance', 89), ('optimization', 88), ('distribution', 86), ('damage', 85)];[(('analysis', 'NN'), 394), (('systems', 'NNS'), 224), (('control', 'NN'), 219), (('model', 'NN'), 175), (('energy', 'NN'), 173), (('power', 'NN'), 167), (('system', 'NN'), 144), (('design', 'NN'), 135), (('method', 'NN'), 120), (('numerical', 'JJ'), 107), (('management', 'NN'), 102), (('finite', 'JJ'), 97), (('detection', 'NN'), 93), (('experimental', 'JJ'), 90), (('performance', 'NN'), 86), (('network', 'NN'), 85), (('simulation', 'NN'), 83), (('optimization', 'NN'), 83), (('water', 'NN'), 82), (('efficiency', 'NN'), 82), (('process', 'NN'), 82), (('networks', 'NNS'), 81), (('models', 'NNS'), 81), (('testing', 'VBG'), 80), (('methods', 'NNS'), 80), (('measurement', 'NN'), 80), (('distribution', 'NN'), 79), (('quality', 'NN'), 79), (('particles', 'NNS'), 75), (('element', 'NN'), 74)]
60002838;[('cell', 1024), ('disease', 813), ('analysis', 742), ('model', 732), ('cancer', 672), ('system', 631), ('syndrome', 532), ('protein', 473), ('italy', 453), ('scatter', 443), ('stress', 413), ('acid', 398), ('network', 393), ('structure', 389), ('hadronhadron', 389), ('receptor', 371), ('physic', 362), ('therapy', 359), ('surgery', 357), ('human', 357), ('heart', 356), ('experiment', 351), ('molecule', 330), ('inhibitor', 328), ('factor', 323), ('drug', 319), ('image', 314), ('specie', 312), ('disorder', 306), ('activity', 289)];[(('analysis', 'NN'), 711), (('cancer', 'NN'), 614), (('disease', 'NN'), 485), (('cell', 'NN'), 477), (('scattering', 'VBG'), 435), (('stress', 'NN'), 390), (('cells', 'NNS'), 387), (('physics', 'NNS'), 361), (('model', 'NN'), 345), (('human', 'JJ'), 339), (('therapy', 'NN'), 338), (('hadronhadron', 'NN'), 334), (('system', 'NN'), 321), (('species', 'NNS'), 310), (('systems', 'NNS'), 310), (('syndrome', 'NN'), 304), (('experiments', 'NNS'), 285), (('receptor', 'NN'), 277), (('molecular', 'JJ'), 275), (('resistance', 'NN'), 271), (('activity', 'NN'), 271), (('protein', 'NN'), 269), (('sclerosis', 'NN'), 267), (('treatment', 'NN'), 260), (('surgery', 'NN'), 255), (('multiple', 'JJ'), 248), (('oxidative', 'JJ'), 244), (('acid', 'NN'), 236), (('pain', 'NN'), 232), (('inhibitors', 'NNS'), 230)]
60003003;[('model', 1229), ('cell', 1169), ('analysis', 1091), ('disease', 1020), ('system', 835), ('acid', 826), ('cancer', 740), ('energy', 648), ('test', 558), ('scatter', 550), ('molecule', 467), ('physic', 456), ('structure', 447), ('water', 441), ('factor', 440), ('galaxy', 438), ('experiment', 422), ('method', 416), ('surgery', 412), ('italy', 411), ('protein', 403), ('dynamic', 401), ('network', 388), ('syndrome', 384), ('property', 384), ('receptor', 383), ('risk', 380), ('detector', 375), ('therapy', 362), ('hadronhadron', 360)];[(('analysis', 'NN'), 1048), (('cancer', 'NN'), 690), (('energy', 'NN'), 636), (('cells', 'NNS'), 557), (('model', 'NN'), 551), (('disease', 'NN'), 537), (('scattering', 'VBG'), 527), (('system', 'NN'), 493), (('cell', 'NN'), 489), (('physics', 'NNS'), 455), (('galaxies', 'NNS'), 413), (('acid', 'NN'), 405), (('water', 'NN'), 371), (('risk', 'NN'), 359), (('properties', 'NNS'), 357), (('molecular', 'JJ'), 352), (('systems', 'NNS'), 342), (('hadronhadron', 'NN'), 332), (('activity', 'NN'), 326), (('therapy', 'NN'), 316), (('surgery', 'NN'), 315), (('quality', 'NN'), 310), (('stress', 'NN'), 309), (('disease', 'VBP'), 308), (('magnetic', 'JJ'), 306), (('test', 'NN'), 304), (('experiments', 'NNS'), 302), (('general', 'JJ'), 290), (('control', 'NN'), 289), (('models', 'NNS'), 288)]
60003668;[('cell', 648), ('cancer', 452), ('disease', 421), ('scatter', 393), ('physic', 392), ('model', 371), ('hadronhadron', 333), ('experiment', 312), ('analysis', 301), ('cm', 247), ('therapy', 237), ('coronary', 220), ('kidney', 214), ('system', 193), ('surgery', 188), ('syndrome', 187), ('factor', 177), ('protein', 176), ('covid', 173), ('detector', 173), ('receptor', 167), ('acid', 162), ('risk', 148), ('image', 147), ('liver', 146), ('drug', 144), ('agent', 138), ('spectroscopy', 138), ('theory', 136), ('health', 135)];[(('cancer', 'NN'), 404), (('physics', 'NNS'), 391), (('scattering', 'VBG'), 388), (('hadronhadron', 'NN'), 308), (('disease', 'NN'), 298), (('cell', 'NN'), 293), (('analysis', 'NN'), 290), (('cells', 'NNS'), 272), (('experiments', 'NNS'), 262), (('therapy', 'NN'), 219), (('model', 'NN'), 215), (('coronary', 'JJ'), 215), (('cms', 'NN'), 208), (('surgery', 'NN'), 148), (('health', 'NN'), 135), (('sclerosis', 'NN'), 134), (('risk', 'NN'), 128), (('human', 'JJ'), 128), (('growth', 'NN'), 128), (('heavy', 'JJ'), 127), (('care', 'NN'), 124), (('chronic', 'JJ'), 119), (('protein', 'NN'), 116), (('treatment', 'NN'), 115), (('agents', 'NNS'), 114), (('stress', 'NN'), 112), (('detectors', 'NNS'), 112), (('carcinoma', 'NN'), 111), (('system', 'NN'), 111), (('syndrome', 'NN'), 108)]
60004300;[('system', 393), ('analysis', 377), ('model', 376), ('energy', 274), ('dynamic', 175), ('network', 163), ('build', 160), ('control', 158), ('italy', 158), ('test', 144), ('fiber', 142), ('software', 136), ('sensor', 133), ('management', 132), ('simulation', 125), ('measurement', 124), ('performance', 117), ('process', 116), ('power', 114), ('wave', 111), ('heat', 107), ('method', 105), ('seismic', 103), ('effect', 98), ('data', 93), ('structure', 92), ('cell', 92), ('soil', 91), ('gravitation', 91), ('flow', 90)];[(('analysis', 'NN'), 356), (('energy', 'NN'), 273), (('systems', 'NNS'), 235), (('model', 'NN'), 175), (('system', 'NN'), 158), (('control', 'NN'), 148), (('software', 'NN'), 136), (('management', 'NN'), 131), (('dynamic', 'JJ'), 120), (('power', 'NN'), 113), (('performance', 'NN'), 106), (('simulation', 'NN'), 105), (('seismic', 'JJ'), 98), (('network', 'NN'), 88), (('data', 'NNS'), 86), (('gravitational', 'JJ'), 84), (('italy', 'NN'), 83), (('waves', 'NNS'), 80), (('southern', 'JJ'), 78), (('sensors', 'NNS'), 77), (('process', 'NN'), 74), (('models', 'NNS'), 73), (('optical', 'JJ'), 72), (('fiber', 'NN'), 71), (('networks', 'NNS'), 69), (('learning', 'VBG'), 68), (('heat', 'NN'), 67), (('social', 'JJ'), 66), (('optimization', 'NN'), 65), (('thermal', 'JJ'), 65)]
60004591;[('cell', 1076), ('analysis', 922), ('model', 845), ('cancer', 801), ('disease', 780), ('system', 659), ('receptor', 593), ('acid', 550), ('therapy', 449), ('method', 427), ('structure', 424), ('factor', 410), ('test', 407), ('surgery', 401), ('syndrome', 400), ('spectroscopy', 369), ('molecule', 365), ('stress', 359), ('property', 356), ('human', 348), ('image', 345), ('protein', 336), ('treatment', 327), ('covid', 324), ('magnetism', 324), ('network', 322), ('microscopy', 318), ('liver', 311), ('risk', 311), ('control', 306)];[(('analysis', 'NN'), 875), (('cancer', 'NN'), 768), (('cell', 'NN'), 554), (('disease', 'NN'), 534), (('therapy', 'NN'), 427), (('cells', 'NNS'), 391), (('receptor', 'NN'), 373), (('model', 'NN'), 349), (('properties', 'NNS'), 340), (('systems', 'NNS'), 339), (('human', 'JJ'), 328), (('stress', 'NN'), 323), (('system', 'NN'), 320), (('acid', 'NN'), 309), (('molecular', 'JJ'), 302), (('treatment', 'NN'), 302), (('magnetic', 'JJ'), 302), (('microscopy', 'NN'), 301), (('spectroscopy', 'NN'), 293), (('surgery', 'NN'), 292), (('physics', 'NNS'), 292), (('health', 'NN'), 291), (('risk', 'NN'), 288), (('activity', 'NN'), 288), (('structure', 'NN'), 265), (('gene', 'NN'), 256), (('control', 'NN'), 254), (('design', 'NN'), 251), (('growth', 'NN'), 244), (('scattering', 'VBG'), 244)]
60004969;[('cell', 961), ('model', 932), ('analysis', 909), ('disease', 758), ('system', 699), ('structure', 689), ('acid', 616), ('complex', 513), ('cancer', 480), ('protein', 478), ('lung', 461), ('method', 457), ('food', 433), ('heart', 420), ('activity', 401), ('surgery', 390), ('crystal', 387), ('theory', 364), ('test', 357), ('growth', 357), ('water', 356), ('human', 336), ('spectroscopy', 331), ('stress', 327), ('risk', 326), ('syndrome', 324), ('control', 322), ('effect', 321), ('network', 319), ('factor', 312)];[(('analysis', 'NN'), 841), (('disease', 'NN'), 509), (('cancer', 'NN'), 451), (('cell', 'NN'), 440), (('model', 'NN'), 437), (('structure', 'NN'), 414), (('cells', 'NNS'), 410), (('food', 'NN'), 408), (('system', 'NN'), 392), (('activity', 'NN'), 382), (('growth', 'NN'), 357), (('complexes', 'NNS'), 313), (('systems', 'NNS'), 307), (('surgery', 'NN'), 304), (('human', 'JJ'), 302), (('risk', 'NN'), 298), (('protein', 'NN'), 296), (('stress', 'NN'), 290), (('water', 'NN'), 288), (('acid', 'NN'), 281), (('therapy', 'NN'), 276), (('theory', 'NN'), 271), (('control', 'NN'), 268), (('molecular', 'JJ'), 265), (('method', 'NN'), 265), (('social', 'JJ'), 261), (('health', 'NN'), 259), (('lung', 'NN'), 257), (('properties', 'NNS'), 257), (('management', 'NN'), 254)]
60004975;[('model', 86), ('social', 72), ('disorder', 63), ('personality', 54), ('behavior', 53), ('work', 51), ('organization', 48), ('value', 48), ('job', 42), ('analysis', 39), ('hiv', 36), ('memory', 36), ('health', 33), ('cognition', 33), ('performance', 32), ('management', 32), ('adolescent', 32), ('teacher', 31), ('space', 31), ('addiction', 30), ('child', 29), ('school', 29), ('satisfaction', 29), ('economy', 29), ('theory', 29), ('emotional', 28), ('parent', 28), ('covid', 27), ('risk', 27), ('relationship', 26)];[(('social', 'JJ'), 71), (('personality', 'NN'), 50), (('job', 'NN'), 42), (('values', 'NNS'), 39), (('work', 'NN'), 37), (('model', 'NN'), 37), (('analysis', 'NN'), 37), (('memory', 'NN'), 35), (('health', 'NN'), 33), (('performance', 'NN'), 32), (('models', 'NNS'), 32), (('management', 'NN'), 31), (('disorder', 'NN'), 31), (('addiction', 'NN'), 29), (('hiv', 'NN'), 29), (('satisfaction', 'NN'), 29), (('disorders', 'NNS'), 29), (('school', 'NN'), 28), (('emotional', 'JJ'), 28), (('organizational', 'JJ'), 27), (('adolescents', 'NNS'), 27), (('data', 'NNS'), 25), (('family', 'NN'), 24), (('risk', 'NN'), 24), (('theory', 'NN'), 23), (('depression', 'NN'), 22), (('spatial', 'JJ'), 22), (('teachers', 'NNS'), 22), (('psychological', 'JJ'), 21), (('adolescence', 'NN'), 21)]
