;Ikeywords_lemma;Ikeywords_pos
60000481;[('human', 79614), ('study', 60139), ('cell', 47871), ('article', 46712), ('protein', 42638), ('age', 40501), ('female', 39829), ('male', 39778), ('adult', 32683), ('drug', 29605), ('disease', 29418), ('animal', 28975), ('clinic', 27881), ('control', 26974), ('analysis', 26708), ('journal', 19947), ('priority', 19946), ('gene', 17844), ('factor', 17158), ('model', 16689), ('blood', 16417), ('system', 16196), ('middle', 16038), ('acid', 15586), ('cancer', 14465), ('heart', 14324), ('child', 13542), ('muscle', 12454), ('agent', 12341), ('major', 11312)];[(('human', 'JJ'), 50555), (('article', 'NN'), 46712), (('study', 'NN'), 45904), (('cell', 'NN'), 37309), (('adult', 'NN'), 31588), (('drug', 'NN'), 29513), (('female', 'JJ'), 29367), (('protein', 'NN'), 28128), (('clinical', 'JJ'), 27838), (('analysis', 'NN'), 26074), (('humans', 'NNS'), 24227), (('disease', 'NN'), 23775), (('male', 'JJ'), 20974), (('priority', 'NN'), 19660), (('journal', 'NN'), 18779), (('male', 'NN'), 17906), (('gene', 'NN'), 17054), (('aged', 'VBN'), 16821), (('aged', 'VBD'), 15931), (('controlled', 'VBD'), 15852), (('blood', 'NN'), 15261), (('cancer', 'NN'), 14051), (('animal', 'JJ'), 13273), (('heart', 'NN'), 12734), (('major', 'JJ'), 11312), (('factor', 'NN'), 10560), (('system', 'NN'), 10305), (('tumor', 'NN'), 10295), (('studies', 'NNS'), 10179), (('child', 'NN'), 9808)]
60001400;[('human', 57), ('age', 48), ('female', 32), ('male', 30), ('article', 26), ('adult', 26), ('memory', 25), ('study', 24), ('test', 23), ('cognition', 22), ('italy', 19), ('gene', 18), ('neuropsychology', 17), ('behavior', 16), ('middle', 13), ('physiology', 12), ('child', 12), ('analysis', 11), ('control', 11), ('performance', 11), ('experiment', 10), ('learn', 10), ('disease', 10), ('disorder', 10), ('mental', 9), ('psychology', 9), ('campania', 8), ('priority', 8), ('journal', 8), ('function', 8)];[(('human', 'JJ'), 37), (('article', 'NN'), 26), (('adult', 'NN'), 25), (('female', 'JJ'), 24), (('memory', 'NN'), 24), (('male', 'JJ'), 21), (('aged', 'VBN'), 21), (('humans', 'NNS'), 20), (('study', 'NN'), 19), (('gene', 'NN'), 18), (('neuropsychological', 'JJ'), 16), (('aged', 'VBD'), 14), (('italy', 'NN'), 13), (('cognition', 'NN'), 13), (('test', 'NN'), 12), (('physiology', 'NN'), 11), (('analysis', 'NN'), 11), (('performance', 'NN'), 11), (('controlled', 'VBD'), 10), (('tests', 'NNS'), 10), (('disease', 'NN'), 10), (('aging', 'VBG'), 9), (('mental', 'JJ'), 9), (('behavior', 'NN'), 9), (('learning', 'VBG'), 9), (('psychology', 'NN'), 9), (('cognitive', 'JJ'), 9), (('priority', 'NN'), 8), (('journal', 'NN'), 8), (('language', 'NN'), 8)]
60001711;[('analysis', 1509), ('system', 1280), ('model', 1235), ('human', 1130), ('control', 997), ('method', 882), ('study', 838), ('cell', 695), ('article', 680), ('power', 671), ('electric', 668), ('water', 639), ('energy', 637), ('process', 578), ('numerical', 565), ('material', 562), ('particle', 531), ('test', 515), ('air', 506), ('experiment', 500), ('measurement', 496), ('design', 467), ('structure', 467), ('environment', 450), ('protein', 450), ('simulation', 441), ('female', 440), ('male', 436), ('health', 436), ('age', 433)];[(('analysis', 'NN'), 1448), (('systems', 'NNS'), 904), (('human', 'JJ'), 693), (('article', 'NN'), 679), (('power', 'NN'), 669), (('electric', 'JJ'), 657), (('study', 'NN'), 640), (('control', 'NN'), 629), (('energy', 'NN'), 616), (('models', 'NNS'), 583), (('numerical', 'JJ'), 565), (('water', 'NN'), 558), (('air', 'NN'), 482), (('materials', 'NNS'), 475), (('cell', 'NN'), 457), (('method', 'NN'), 447), (('health', 'NN'), 436), (('computer', 'NN'), 425), (('design', 'NN'), 405), (('adult', 'NN'), 400), (('particle', 'NN'), 399), (('simulation', 'NN'), 395), (('model', 'NN'), 382), (('methods', 'NNS'), 380), (('humans', 'NNS'), 379), (('system', 'NN'), 376), (('waste', 'NN'), 360), (('experimental', 'JJ'), 352), (('environmental', 'JJ'), 348), (('pollution', 'NN'), 346)]
60002838;[('human', 30413), ('study', 20312), ('cell', 18274), ('article', 17599), ('protein', 16627), ('drug', 15192), ('age', 13840), ('male', 13685), ('female', 13361), ('adult', 11276), ('clinic', 9763), ('disease', 9747), ('control', 9322), ('animal', 9106), ('analysis', 7963), ('priority', 7336), ('journal', 7336), ('gene', 6274), ('acid', 6224), ('agent', 5720), ('middle', 5687), ('factor', 5437), ('blood', 5007), ('receptor', 4530), ('system', 4518), ('virus', 4345), ('cancer', 4249), ('model', 4149), ('nonhuman', 4094), ('italy', 4046)];[(('human', 'JJ'), 19355), (('article', 'NN'), 17599), (('study', 'NN'), 15448), (('drug', 'NN'), 15162), (('cell', 'NN'), 14552), (('protein', 'NN'), 10896), (('adult', 'NN'), 10893), (('female', 'JJ'), 10018), (('clinical', 'JJ'), 9749), (('humans', 'NNS'), 8955), (('disease', 'NN'), 7922), (('analysis', 'NN'), 7752), (('priority', 'NN'), 7213), (('male', 'JJ'), 7116), (('journal', 'NN'), 6901), (('male', 'NN'), 6293), (('controlled', 'VBD'), 6118), (('gene', 'NN'), 6004), (('aged', 'VBN'), 5845), (('aged', 'VBD'), 5715), (('blood', 'NN'), 4652), (('animal', 'JJ'), 4215), (('cancer', 'NN'), 4131), (('acid', 'NN'), 3849), (('derivative', 'JJ'), 3810), (('nonhuman', 'JJ'), 3723), (('receptor', 'NN'), 3687), (('molecular', 'JJ'), 3542), (('major', 'JJ'), 3529), (('factor', 'NN'), 3497)]
60003003;[('human', 25860), ('study', 22070), ('cell', 19133), ('article', 17121), ('age', 15334), ('drug', 14403), ('protein', 13611), ('male', 13418), ('female', 13245), ('animal', 12441), ('disease', 11991), ('clinic', 9929), ('adult', 9878), ('analysis', 9614), ('control', 9547), ('acid', 7985), ('journal', 7318), ('priority', 7317), ('factor', 6896), ('blood', 6155), ('agent', 6038), ('gene', 5761), ('middle', 5702), ('model', 5628), ('cancer', 5254), ('receptor', 5254), ('system', 5197), ('mouse', 4866), ('italy', 4684), ('molecule', 4564)];[(('article', 'NN'), 17120), (('study', 'NN'), 16963), (('human', 'JJ'), 16269), (('cell', 'NN'), 14788), (('drug', 'NN'), 14361), (('clinical', 'JJ'), 9900), (('disease', 'NN'), 9757), (('female', 'JJ'), 9756), (('adult', 'NN'), 9565), (('analysis', 'NN'), 9399), (('protein', 'NN'), 9069), (('humans', 'NNS'), 7701), (('priority', 'NN'), 7227), (('journal', 'NN'), 6950), (('male', 'JJ'), 6886), (('aged', 'VBN'), 6364), (('aged', 'VBD'), 6319), (('male', 'NN'), 6253), (('controlled', 'VBD'), 5887), (('blood', 'NN'), 5695), (('animal', 'JJ'), 5592), (('gene', 'NN'), 5497), (('cancer', 'NN'), 5169), (('acid', 'NN'), 4619), (('factor', 'NN'), 4506), (('receptor', 'NN'), 4154), (('major', 'JJ'), 3914), (('nonhuman', 'JJ'), 3839), (('treatment', 'NN'), 3718), (('derivative', 'JJ'), 3705)]
60003668;[('human', 12931), ('cell', 11494), ('study', 10640), ('protein', 8672), ('age', 7708), ('article', 7105), ('male', 5810), ('female', 5792), ('drug', 5707), ('disease', 4852), ('clinic', 4570), ('adult', 4469), ('control', 4331), ('analysis', 4017), ('gene', 3670), ('animal', 3557), ('factor', 3353), ('cancer', 3205), ('priority', 3054), ('journal', 3054), ('middle', 2985), ('agent', 2748), ('receptor', 2597), ('acid', 2561), ('tumor', 2469), ('blood', 2332), ('risk', 1982), ('survival', 1952), ('treatment', 1946), ('major', 1901)];[(('cell', 'NN'), 9139), (('study', 'NN'), 8043), (('human', 'JJ'), 7454), (('article', 'NN'), 7105), (('protein', 'NN'), 5778), (('drug', 'NN'), 5684), (('clinical', 'JJ'), 4564), (('humans', 'NNS'), 4358), (('adult', 'NN'), 4309), (('female', 'JJ'), 4217), (('disease', 'NN'), 4213), (('analysis', 'NN'), 3924), (('aged', 'VBN'), 3582), (('gene', 'NN'), 3550), (('aged', 'VBD'), 3221), (('cancer', 'NN'), 3133), (('male', 'JJ'), 3125), (('priority', 'NN'), 3014), (('journal', 'NN'), 2885), (('controlled', 'VBD'), 2749), (('male', 'NN'), 2554), (('factor', 'NN'), 2287), (('tumor', 'NN'), 2243), (('receptor', 'NN'), 2210), (('blood', 'NN'), 2110), (('treatment', 'NN'), 1924), (('major', 'JJ'), 1901), (('studies', 'NNS'), 1844), (('risk', 'NN'), 1746), (('genetic', 'JJ'), 1718)]
60004300;[('protein', 2396), ('cell', 1858), ('system', 1472), ('analysis', 1463), ('model', 1157), ('control', 1070), ('human', 1068), ('animal', 1026), ('study', 931), ('energy', 881), ('article', 842), ('gene', 781), ('italy', 644), ('structure', 586), ('acid', 566), ('fiber', 551), ('drug', 549), ('signal', 523), ('method', 518), ('expression', 510), ('factor', 508), ('water', 502), ('computer', 498), ('soil', 485), ('male', 474), ('software', 454), ('receptor', 444), ('experiment', 442), ('metabolism', 438), ('power', 431)];[(('protein', 'NN'), 1503), (('analysis', 'NN'), 1437), (('cell', 'NN'), 1393), (('systems', 'NNS'), 1037), (('energy', 'NN'), 854), (('article', 'NN'), 841), (('gene', 'NN'), 756), (('study', 'NN'), 728), (('human', 'JJ'), 656), (('control', 'NN'), 553), (('drug', 'NN'), 548), (('expression', 'NN'), 500), (('computer', 'NN'), 486), (('italy', 'NN'), 469), (('model', 'NN'), 465), (('models', 'NNS'), 452), (('software', 'NN'), 448), (('water', 'NN'), 435), (('system', 'NN'), 435), (('animal', 'JJ'), 432), (('power', 'NN'), 431), (('metabolism', 'NN'), 402), (('factor', 'NN'), 392), (('time', 'NN'), 385), (('controlled', 'VBD'), 381), (('receptor', 'NN'), 375), (('data', 'NNS'), 362), (('electric', 'JJ'), 356), (('priority', 'NN'), 347), (('tumor', 'NN'), 339)]
60004591;[('human', 28816), ('study', 22010), ('cell', 17563), ('article', 16744), ('age', 15651), ('female', 13896), ('male', 13794), ('drug', 13732), ('protein', 12638), ('adult', 11600), ('clinic', 10822), ('disease', 10286), ('control', 9107), ('analysis', 8871), ('animal', 8868), ('journal', 7388), ('priority', 7382), ('middle', 6179), ('factor', 5825), ('gene', 5711), ('cancer', 5580), ('acid', 5522), ('receptor', 5459), ('agent', 5408), ('system', 5315), ('blood', 5163), ('model', 4251), ('major', 4147), ('treatment', 4133), ('rat', 4059)];[(('human', 'JJ'), 18706), (('article', 'NN'), 16743), (('study', 'NN'), 16677), (('cell', 'NN'), 14066), (('drug', 'NN'), 13704), (('adult', 'NN'), 11268), (('clinical', 'JJ'), 10798), (('female', 'JJ'), 10239), (('analysis', 'NN'), 8644), (('disease', 'NN'), 8610), (('protein', 'NN'), 8348), (('humans', 'NNS'), 8334), (('priority', 'NN'), 7287), (('male', 'JJ'), 7031), (('journal', 'NN'), 7008), (('aged', 'VBN'), 6546), (('male', 'NN'), 6498), (('aged', 'VBD'), 6404), (('controlled', 'VBD'), 5811), (('cancer', 'NN'), 5502), (('gene', 'NN'), 5437), (('blood', 'NN'), 4789), (('animal', 'JJ'), 4277), (('receptor', 'NN'), 4236), (('major', 'JJ'), 4147), (('treatment', 'NN'), 4072), (('system', 'NN'), 3816), (('factor', 'NN'), 3729), (('studies', 'NNS'), 3636), (('therapy', 'NN'), 3470)]
60004969;[('human', 26900), ('study', 19352), ('article', 16405), ('cell', 15141), ('age', 13804), ('drug', 13607), ('male', 13071), ('female', 13022), ('protein', 11949), ('adult', 10429), ('animal', 10036), ('disease', 9349), ('clinic', 8735), ('control', 8546), ('analysis', 8224), ('acid', 6975), ('priority', 6345), ('journal', 6340), ('system', 5507), ('middle', 5290), ('factor', 5110), ('model', 4876), ('blood', 4867), ('agent', 4803), ('structure', 4768), ('gene', 4737), ('heart', 4248), ('molecule', 4061), ('receptor', 3962), ('italy', 3958)];[(('human', 'JJ'), 17352), (('article', 'NN'), 16404), (('study', 'NN'), 14710), (('drug', 'NN'), 13567), (('cell', 'NN'), 11842), (('adult', 'NN'), 10083), (('female', 'JJ'), 9637), (('clinical', 'JJ'), 8699), (('humans', 'NNS'), 8002), (('analysis', 'NN'), 7987), (('protein', 'NN'), 7582), (('disease', 'NN'), 7345), (('male', 'JJ'), 6624), (('priority', 'NN'), 6253), (('male', 'NN'), 6174), (('journal', 'NN'), 5974), (('aged', 'VBD'), 5564), (('aged', 'VBN'), 5464), (('controlled', 'VBD'), 5339), (('animal', 'JJ'), 4780), (('blood', 'NN'), 4553), (('gene', 'NN'), 4441), (('system', 'NN'), 4056), (('acid', 'NN'), 3929), (('heart', 'NN'), 3847), (('structure', 'NN'), 3597), (('molecular', 'JJ'), 3535), (('nonhuman', 'JJ'), 3450), (('major', 'JJ'), 3431), (('derivative', 'JJ'), 3399)]
60004975;[('human', 1046), ('study', 627), ('female', 581), ('adult', 571), ('male', 536), ('disorder', 445), ('article', 417), ('age', 365), ('virus', 358), ('child', 316), ('clinic', 286), ('control', 228), ('infection', 224), ('disease', 224), ('analysis', 223), ('personality', 216), ('behavior', 215), ('italy', 203), ('adolescent', 202), ('immunodeficiency', 197), ('health', 196), ('test', 190), ('middle', 184), ('major', 184), ('questionnaire', 170), ('mental', 168), ('social', 161), ('young', 146), ('cell', 137), ('hiv', 136)];[(('human', 'JJ'), 710), (('adult', 'NN'), 537), (('study', 'NN'), 492), (('female', 'JJ'), 435), (('article', 'NN'), 417), (('male', 'JJ'), 327), (('humans', 'NNS'), 313), (('virus', 'NN'), 306), (('disorder', 'NN'), 287), (('clinical', 'JJ'), 283), (('child', 'NN'), 226), (('analysis', 'NN'), 222), (('disease', 'NN'), 203), (('personality', 'NN'), 200), (('male', 'NN'), 198), (('health', 'NN'), 196), (('immunodeficiency', 'NN'), 194), (('major', 'JJ'), 184), (('aged', 'VBN'), 171), (('social', 'JJ'), 161), (('controlled', 'VBD'), 149), (('young', 'JJ'), 146), (('disorders', 'NNS'), 139), (('mental', 'JJ'), 136), (('test', 'NN'), 134), (('female', 'NN'), 129), (('infection', 'NN'), 126), (('behavior', 'NN'), 126), (('aged', 'VBD'), 126), (('memory', 'NN'), 124)]
