,ranking,World Rank,University,Impact Rank*,Openness Rank*,Excellence Rank*,scopus_link,affiliationID,other_names,articles_category,street,state,number_authors,number_aff_only,number_aff_whole,authors_link,aff_only_link,aff_whole_link,EterID
0,1,113,Università di Bologna (Università degli Studi di Bologna),204,109,114,https://www.scopus.com/affil/profile.uri?afid=60028218,60028218.0,"['University Of Bologna', 'Università Di Bologna', 'Universita Di Bologna', 'Alma Mater Studiorum Università Di Bologna', 'Università Degli Studi Di Bologna', 'Univ. Bologna', 'Bologna University', 'Universitá Di Bologna', 'Alma Mater Studiorum University Of Bologna', 'Universita Degli Studi Di Bologna']","{'Medicine': 41283, 'Arts and Humanities': 4854, 'Physics and Astronomy': 23996, 'Neuroscience': 4623, 'Engineering': 21254, 'Immunology and Microbiology': 3805, 'Biochemistry, Genetics and Molecular Biology': 20405, 'Psychology': 2894, 'Chemistry': 15032, 'Economics, Econometrics and Finance': 2883, 'Computer Science': 13443, 'Energy': 2878, 'Agricultural and Biological Sciences': 10272, 'Business, Management and Accounting': 2616, 'Mathematics': 10004, 'Veterinary': 1838, 'Materials Science': 9377, 'Multidisciplinary': 1776, 'Social Sciences': 8677, 'Decision Sciences': 1602, 'Earth and Planetary Sciences': 8403, 'Dentistry': 1351, 'Chemical Engineering': 6245, 'Nursing': 1222, 'Environmental Science': 5985, 'Health Professions': 1060}","Via Zamboni 33, Bologna",Bologna,22685.0,141997.0,"152,679",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60028218&st1=Alma%Mater%Studiorum%Università%di%Bologna&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60028218&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60028218&origin=AffiliationProfile,IT0009
1,2,124,Università degli Studi di Roma La Sapienza,404,99,64,https://www.scopus.com/affil/profile.uri?afid=60032350,60032350.0,"['Sapienza University Of Rome', 'Sapienza Università Di Roma', 'University Of Rome La Sapienza', 'Università Di Roma La Sapienza', 'Università La Sapienza', 'University La Sapienza', 'Sapienza University', 'University Of Rome', ""University Of Rome 'la Sapienza'"", 'Università Degli Studi Di Roma La Sapienza']","{'Medicine': 75533, 'Pharmacology, Toxicology and Pharmaceutics': 7254, 'Physics and Astronomy': 36191, 'Arts and Humanities': 5874, 'Biochemistry, Genetics and Molecular Biology': 29444, 'Chemical Engineering': 5775, 'Engineering': 25334, 'Psychology': 5685, 'Mathematics': 16976, 'Energy': 4222, 'Computer Science': 16663, 'Multidisciplinary': 2886, 'Chemistry': 15270, 'Economics, Econometrics and Finance': 2513, 'Materials Science': 11373, 'Decision Sciences': 2157, 'Earth and Planetary Sciences': 9992, 'Business, Management and Accounting': 2063, 'Neuroscience': 9750, 'Nursing': 2026, 'Social Sciences': 9103, 'Health Professions': 1522, 'Agricultural and Biological Sciences': 8339, 'Dentistry': 1314, 'Immunology and Microbiology': 7565, 'Veterinary': 310}","Piazzale Aldo Moro 5, Rome",Roma,38032.0,201481.0,"204,265",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60032350&st1=Sapienza%Università%di%Roma&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60032350&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60032350&origin=AffiliationProfile,IT0068
2,3,130,Università degli Studi di Milano,340,112,82,https://www.scopus.com/affil/profile.uri?afid=60030318,60030318.0,"['University Of Milan', 'Università Degli Studi Di Milano', 'Università Di Milano', 'University Of Milano', 'Universita Degli Studi Di Milano', 'Universita Di Milano', 'Univ. Milano', 'Univ. Degli Studi Di Milano', 'Università Degli Studi', 'Universitá Degli Studi Di Milano']","{'Medicine': 71566, 'Earth and Planetary Sciences': 4553, 'Biochemistry, Genetics and Molecular Biology': 32825, 'Environmental Science': 4519, 'Physics and Astronomy': 16473, 'Arts and Humanities': 3175, 'Chemistry': 12292, 'Nursing': 2648, 'Agricultural and Biological Sciences': 11043, 'Multidisciplinary': 2434, 'Pharmacology, Toxicology and Pharmaceutics': 8637, 'Veterinary': 2386, 'Computer Science': 7805, 'Dentistry': 2348, 'Neuroscience': 7631, 'Psychology': 1964, 'Immunology and Microbiology': 7586, 'Health Professions': 1759, 'Mathematics': 7154, 'Economics, Econometrics and Finance': 1240, 'Engineering': 6741, 'Energy': 1104, 'Materials Science': 5394, 'Business, Management and Accounting': 980, 'Social Sciences': 5060, 'Decision Sciences': 864}","Via Festa del Perdono 7, Milan",Milano,27414.0,151322.0,"156,375",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60030318&st1=Università%degli%Studi%di%Milano&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60030318&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60030318&origin=AffiliationProfile,IT0038
3,4,139,Università degli Studi di Napoli Federico II,363,153,86,https://www.scopus.com/affil/profile.uri?afid=60017293,60017293.0,"['University Of Naples Federico Ii', 'Università Degli Studi Di Napoli Federico Ii', 'Università Di Napoli Federico Ii', 'Federico Ii University', 'University Federico Ii', 'University Of Naples “federico Ii”', 'Università Federico Ii', 'Federico Ii University Of Naples', 'University Of Napoli Federico Ii', ""University Of Naples 'federico Ii'""]","{'Medicine': 40142, 'Immunology and Microbiology': 4466, 'Biochemistry, Genetics and Molecular Biology': 23437, 'Energy': 3670, 'Engineering': 21673, 'Neuroscience': 3085, 'Physics and Astronomy': 20670, 'Arts and Humanities': 2263, 'Chemistry': 11404, 'Multidisciplinary': 1795, 'Computer Science': 10672, 'Nursing': 1593, 'Agricultural and Biological Sciences': 9858, 'Business, Management and Accounting': 1532, 'Materials Science': 9541, 'Economics, Econometrics and Finance': 1357, 'Mathematics': 9212, 'Decision Sciences': 1257, 'Earth and Planetary Sciences': 6768, 'Veterinary': 1136, 'Pharmacology, Toxicology and Pharmaceutics': 6382, 'Psychology': 1122, 'Environmental Science': 6050, 'Dentistry': 1051, 'Chemical Engineering': 5987, 'Health Professions': 795}","Corso Umberto I 40, Naples",Napoli,23008.0,127010.0,"131,478",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60017293&st1=Università%degli%Studi%di%Napoli%Federico%II&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60017293&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60017293&origin=AffiliationProfile,IT0045
4,5,145,Università degli Studi di Padova,385,91,96,https://www.scopus.com/affil/profile.uri?afid=60000481,60000481.0,"['University Of Padova', 'University Of Padua', 'Università Di Padova', 'Università Degli Studi Di Padova', 'Universita Di Padova', 'Univ. Padova', 'Universitá Di Padova', 'Padova University', 'Universita Degli Studi Di Padova', 'Padua University']","{'Medicine': 44191, 'Pharmacology, Toxicology and Pharmaceutics': 4564, 'Physics and Astronomy': 25524, 'Chemical Engineering': 4346, 'Biochemistry, Genetics and Molecular Biology': 23287, 'Arts and Humanities': 4063, 'Engineering': 19967, 'Immunology and Microbiology': 3898, 'Computer Science': 10915, 'Energy': 3405, 'Chemistry': 10825, 'Multidisciplinary': 2445, 'Materials Science': 10661, 'Business, Management and Accounting': 1838, 'Mathematics': 10125, 'Decision Sciences': 1605, 'Agricultural and Biological Sciences': 9305, 'Economics, Econometrics and Finance': 1565, 'Earth and Planetary Sciences': 9200, 'Veterinary': 1440, 'Social Sciences': 5914, 'Nursing': 1401, 'Neuroscience': 5667, 'Health Professions': 1241, 'Psychology': 5630, 'Dentistry': 718}","Via 8 Febbraio, 2, Padua",Padua,25795.0,139890.0,"143,468",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60000481&st1=Università%degli%Studi%di%Padova&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60000481&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60000481&origin=AffiliationProfile,IT0050
5,6,213,Università di Pisa (Università degli Studi di Pisa),389,219,175,https://www.scopus.com/affil/profile.uri?afid=60028868,60028868.0,"['University Of Pisa', 'Università Di Pisa', 'Universita Di Pisa', 'Università Degli Studi Di Pisa', 'Universitá Di Pisa', 'Univ. Pisa', 'Pisa University', 'Universita Degli Studi Di Pisa', 'Dipartimento Di Matematica']","{'Medicine': 26256, 'Chemical Engineering': 3243, 'Physics and Astronomy': 19756, 'Immunology and Microbiology': 2975, 'Biochemistry, Genetics and Molecular Biology': 15198, 'Energy': 2488, 'Engineering': 14328, 'Arts and Humanities': 2452, 'Computer Science': 11843, 'Veterinary': 1353, 'Mathematics': 10116, 'Multidisciplinary': 1263, 'Chemistry': 9304, 'Psychology': 1201, 'Agricultural and Biological Sciences': 8293, 'Economics, Econometrics and Finance': 1131, 'Materials Science': 6262, 'Business, Management and Accounting': 1092, 'Earth and Planetary Sciences': 5327, 'Decision Sciences': 987, 'Pharmacology, Toxicology and Pharmaceutics': 4734, 'Health Professions': 667, 'Environmental Science': 3829, 'Nursing': 652, 'Neuroscience': 3464, 'Dentistry': 412}","Lungarno Pacinotti 43, Pisa",Pisa,16615.0,97944.0,"99,785",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60028868&st1=Università%di%Pisa&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60028868&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60028868&origin=AffiliationProfile,IT0059
6,7,229,Università degli Studi di Torino,524,200,162,https://www.scopus.com/affil/profile.uri?afid=60012259,60012259.0,"['University Of Turin', 'Università Di Torino', 'University Of Torino', 'Università Degli Studi Di Torino', 'Universita Di Torino', 'Univ. Torino', 'Universita Degli Studi Di Torino', 'Universitá Di Torino', ""Universita' Di Torino"", 'Turin University']","{'Medicine': 39786, 'Arts and Humanities': 3829, 'Biochemistry, Genetics and Molecular Biology': 17908, 'Pharmacology, Toxicology and Pharmaceutics': 3561, 'Physics and Astronomy': 14863, 'Chemical Engineering': 3146, 'Agricultural and Biological Sciences': 8575, 'Psychology': 2249, 'Chemistry': 8289, 'Economics, Econometrics and Finance': 1872, 'Computer Science': 5929, 'Multidisciplinary': 1870, 'Social Sciences': 5910, 'Business, Management and Accounting': 1684, 'Mathematics': 5641, 'Veterinary': 1340, 'Engineering': 4773, 'Nursing': 1187, 'Materials Science': 4306, 'Dentistry': 1075, 'Environmental Science': 4058, 'Energy': 1019, 'Earth and Planetary Sciences': 4045, 'Health Professions': 772, 'Immunology and Microbiology': 3971, 'Decision Sciences': 674}","Via Verdi, 8, Turin",Torino,18549.0,100345.0,"101,480",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60012259&st1=Università%degli%Studi%di%Torino&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60012259&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60012259&origin=AffiliationProfile,IT0083
7,8,239,Politecnico di Milano,337,256,240,https://www.scopus.com/affil/profile.uri?afid=60023256,60023256.0,"['Politecnico Di Milano', 'Polytechnic Of Milan', 'Dipartimento Di Elettronica', 'Polytechnic University Of Milan', 'Dipartimento Di Elettronica E Informazione', 'Department Of Mechanical Engineering']","{'Engineering': 38810, 'Decision Sciences': 2162, 'Computer Science': 19703, 'Arts and Humanities': 1547, 'Physics and Astronomy': 17343, 'Economics, Econometrics and Finance': 1299, 'Materials Science': 13830, 'Agricultural and Biological Sciences': 1020, 'Mathematics': 12450, 'Pharmacology, Toxicology and Pharmaceutics': 699, 'Chemistry': 7396, 'Multidisciplinary': 627, 'Energy': 6183, 'Health Professions': 586, 'Chemical Engineering': 5693, 'Neuroscience': 549, 'Social Sciences': 5174, 'Immunology and Microbiology': 278, 'Environmental Science': 5086, 'Psychology': 259, 'Medicine': 4984, 'Nursing': 90, 'Biochemistry, Genetics and Molecular Biology': 4549, 'Veterinary': 56, 'Earth and Planetary Sciences': 4080, 'Undefined': 52}","Piazza Leonardo da Vinci, 32, Milan",Milano,14723.0,81016.0,"81,017",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60023256&st1=Politecnico%di%Milano&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60023256&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60023256&origin=AffiliationProfile,IT0035
8,9,259,Università degli Studi di Firenze,579,163,181,https://www.scopus.com/affil/profile.uri?afid=60021859,60021859.0,"['University Of Florence', 'Università Di Firenze', 'Università Degli Studi Di Firenze', 'University Of Firenze', 'Universita Di Firenze', 'Universita Degli Studi Di Firenze', 'Univ. Firenze', 'Universitá Di Firenze', 'Univ. Degli Studi Di Firenze', 'Florence University']","{'Medicine': 31234, 'Neuroscience': 3572, 'Biochemistry, Genetics and Molecular Biology': 16322, 'Chemical Engineering': 3057, 'Physics and Astronomy': 14944, 'Arts and Humanities': 2970, 'Engineering': 12192, 'Psychology': 1884, 'Chemistry': 10314, 'Energy': 1786, 'Agricultural and Biological Sciences': 8337, 'Multidisciplinary': 1461, 'Computer Science': 7666, 'Economics, Econometrics and Finance': 1256, 'Mathematics': 7600, 'Business, Management and Accounting': 1198, 'Earth and Planetary Sciences': 6351, 'Nursing': 858, 'Pharmacology, Toxicology and Pharmaceutics': 6065, 'Decision Sciences': 838, 'Materials Science': 5550, 'Dentistry': 828, 'Environmental Science': 5150, 'Health Professions': 653, 'Social Sciences': 4851, 'Veterinary': 260}","P.zza S.Marco, 4, Florence",Florence,17060.0,98924.0,"104,328",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60021859&st1=Università%degli%Studi%di%Firenze&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60021859&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60021859&origin=AffiliationProfile,IT0025
9,10,274,Università degli Studi di Genova,431,273,249,https://www.scopus.com/affil/profile.uri?afid=60025153,60025153.0,"['University Of Genoa', 'University Of Genova', 'Università Di Genova', 'Università Degli Studi Di Genova', 'Dipartimento Di Fisica', 'Univ. Genova', 'Universita Di Genova', 'Genoa University', 'Dipartimento Di Chimica E Chimica Industriale', 'Univ Of Genoa']","{'Medicine': 28213, 'Chemical Engineering': 2868, 'Physics and Astronomy': 13740, 'Social Sciences': 2861, 'Engineering': 13692, 'Energy': 2204, 'Biochemistry, Genetics and Molecular Biology': 11141, 'Arts and Humanities': 1827, 'Computer Science': 8987, 'Psychology': 1107, 'Mathematics': 6457, 'Multidisciplinary': 947, 'Materials Science': 5890, 'Health Professions': 701, 'Chemistry': 5662, 'Decision Sciences': 682, 'Neuroscience': 4051, 'Business, Management and Accounting': 679, 'Immunology and Microbiology': 3981, 'Nursing': 597, 'Environmental Science': 3541, 'Economics, Econometrics and Finance': 582, 'Earth and Planetary Sciences': 3301, 'Dentistry': 445, 'Agricultural and Biological Sciences': 3292, 'Veterinary': 99}","Via Balbi 5, Genoa",Genova,12250.0,79733.0,"92,305",https://www.scopus.com//search/submit/authorlookup.uri?affiliationId=60025153&st1=Università%degli%Studi%di%Genova&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliation.uri?affiliationId=60025153&origin=AffiliationProfile,https://www.scopus.com//search/submit/affiliationplus.uri?affiliationId=60025153&origin=AffiliationProfile,IT0028
