;abstract_lemma;abstract_pos
60000481;[('patient', 76183), ('study', 66829), ('use', 65111), ('result', 61111), ('show', 46270), ('high', 44842), ('model', 40124), ('cell', 38277), ('present', 34480), ('data', 34363), ('find', 34317), ('analysis', 34265), ('group', 33583), ('different', 32104), ('significant', 31047), ('increase', 31039), ('effect', 30868), ('method', 30309), ('low', 25265), ('level', 25224), ('system', 25021), ('time', 24179), ('test', 24058), ('control', 23794), ('case', 22967), ('treatment', 21225), ('year', 20612), ('compare', 20231), ('structure', 20054), ('experiment', 20011)];[(('patients', 'NNS'), 69770), (('results', 'NNS'), 50500), (('study', 'NN'), 35255), (('data', 'NNS'), 32398), (('different', 'JJ'), 31415), (('using', 'VBG'), 27361), (('analysis', 'NN'), 27297), (('model', 'NN'), 22676), (('group', 'NN'), 21901), (('high', 'JJ'), 19330), (('time', 'NN'), 19328), (('cells', 'NNS'), 18833), (('used', 'VBN'), 18677), (('treatment', 'NN'), 18557), (('may', 'MD'), 18526), (('methods', 'NNS'), 18083), (('compared', 'VBN'), 17950), (('new', 'JJ'), 17379), (('showed', 'VBD'), 17069), (('present', 'JJ'), 17004), (('significant', 'JJ'), 16468), (('based', 'VBN'), 16338), (('clinical', 'JJ'), 16175), (('system', 'NN'), 16131), (('effect', 'NN'), 15672), (('years', 'NNS'), 15387), (('effects', 'NNS'), 15169), (('found', 'VBD'), 15153), (('activity', 'NN'), 15020), (('associated', 'VBN'), 14984)]
60001400;[('study', 74), ('use', 57), ('result', 54), ('condition', 52), ('analysis', 51), ('find', 48), ('show', 48), ('different', 47), ('present', 39), ('new', 35), ('experiment', 34), ('italian', 33), ('aim', 33), ('investigate', 32), ('population', 32), ('right', 31), ('paper', 30), ('group', 30), ('data', 29), ('event', 29), ('memory', 29), ('work', 28), ('object', 28), ('italy', 28), ('research', 28), ('provide', 27), ('article', 27), ('process', 27), ('level', 27), ('area', 26)];[(('study', 'NN'), 47), (('results', 'NNS'), 47), (('different', 'JJ'), 46), (('new', 'JJ'), 35), (('analysis', 'NN'), 34), (('italian', 'JJ'), 33), (('condition', 'NN'), 32), (('paper', 'NN'), 30), (('rights', 'NNS'), 29), (('data', 'NNS'), 28), (('research', 'NN'), 28), (('present', 'JJ'), 26), (('article', 'NN'), 25), (('species', 'NNS'), 25), (('participants', 'NNS'), 25), (('showed', 'VBD'), 24), (('information', 'NN'), 23), (('role', 'NN'), 22), (('whether', 'IN'), 22), (('populations', 'NNS'), 22), (('group', 'NN'), 22), (('century', 'NN'), 21), (('reserved', 'VBD'), 21), (('found', 'VBD'), 21), (('egocentric', 'JJ'), 21), (('work', 'NN'), 20), (('evidence', 'NN'), 20), (('within', 'IN'), 20), (('samples', 'NNS'), 20), (('time', 'NN'), 20)]
60001711;[('use', 3528), ('model', 3351), ('result', 2977), ('system', 2434), ('study', 2432), ('paper', 2288), ('propose', 2273), ('analysis', 2048), ('present', 1990), ('show', 1927), ('high', 1852), ('different', 1780), ('method', 1775), ('test', 1639), ('experiment', 1520), ('process', 1494), ('base', 1490), ('approach', 1417), ('performance', 1407), ('design', 1345), ('obtain', 1257), ('problem', 1245), ('effect', 1239), ('time', 1231), ('data', 1184), ('aim', 1151), ('numerical', 1127), ('condition', 1095), ('order', 1085), ('control', 1079)];[(('results', 'NNS'), 2475), (('paper', 'NN'), 2257), (('model', 'NN'), 2071), (('different', 'JJ'), 1754), (('analysis', 'NN'), 1654), (('system', 'NN'), 1548), (('proposed', 'VBN'), 1390), (('based', 'VBN'), 1385), (('study', 'NN'), 1380), (('using', 'VBG'), 1343), (('performance', 'NN'), 1186), (('data', 'NNS'), 1130), (('used', 'VBN'), 1127), (('time', 'NN'), 1066), (('approach', 'NN'), 1058), (('order', 'NN'), 1055), (('numerical', 'JJ'), 1040), (('experimental', 'JJ'), 1025), (('new', 'JJ'), 987), (('energy', 'NN'), 987), (('process', 'NN'), 979), (('method', 'NN'), 910), (('design', 'NN'), 906), (('power', 'NN'), 904), (('high', 'JJ'), 894), (('systems', 'NNS'), 886), (('conditions', 'NNS'), 882), (('control', 'NN'), 841), (('problem', 'NN'), 823), (('present', 'JJ'), 782)]
60002838;[('patient', 24798), ('study', 19369), ('use', 17513), ('result', 16921), ('cell', 14811), ('show', 14311), ('high', 12741), ('group', 11688), ('significant', 10926), ('analysis', 9535), ('data', 9503), ('find', 9491), ('increase', 9010), ('present', 8962), ('different', 8836), ('level', 8744), ('method', 8323), ('model', 8248), ('effect', 8008), ('treatment', 7947), ('case', 7154), ('low', 6878), ('activity', 6771), ('clinic', 6691), ('control', 6548), ('system', 6399), ('disease', 6245), ('test', 6211), ('observe', 6125), ('may', 6058)];[(('patients', 'NNS'), 22517), (('results', 'NNS'), 13715), (('study', 'NN'), 10391), (('data', 'NNS'), 8961), (('different', 'JJ'), 8633), (('analysis', 'NN'), 7950), (('cells', 'NNS'), 7655), (('group', 'NN'), 7585), (('treatment', 'NN'), 7167), (('using', 'VBG'), 6961), (('clinical', 'JJ'), 6367), (('showed', 'VBD'), 6256), (('may', 'MD'), 6051), (('significant', 'JJ'), 5964), (('methods', 'NNS'), 5613), (('levels', 'NNS'), 5562), (('activity', 'NN'), 5558), (('new', 'JJ'), 5537), (('used', 'VBN'), 5273), (('high', 'JJ'), 5006), (('significantly', 'RB'), 4962), (('model', 'NN'), 4867), (('species', 'NNS'), 4843), (('time', 'NN'), 4798), (('compared', 'VBN'), 4666), (('found', 'VBD'), 4615), (('present', 'JJ'), 4612), (('cell', 'NN'), 4600), (('observed', 'VBD'), 4453), (('years', 'NNS'), 4415)]
60003003;[('patient', 26797), ('study', 24595), ('use', 24052), ('result', 22455), ('cell', 16398), ('show', 16335), ('high', 16045), ('model', 13210), ('data', 12610), ('analysis', 12168), ('increase', 12128), ('group', 11848), ('present', 11747), ('effect', 11710), ('different', 11422), ('significant', 11141), ('find', 11107), ('method', 10519), ('level', 9271), ('low', 9250), ('treatment', 9181), ('system', 9064), ('case', 8347), ('time', 8278), ('test', 8215), ('activity', 8095), ('observe', 7962), ('experiment', 7604), ('energy', 7578), ('obtain', 7572)];[(('patients', 'NNS'), 24662), (('results', 'NNS'), 18409), (('study', 'NN'), 13133), (('data', 'NNS'), 11908), (('different', 'JJ'), 11178), (('using', 'VBG'), 10340), (('analysis', 'NN'), 9977), (('cells', 'NNS'), 9217), (('treatment', 'NN'), 8057), (('group', 'NN'), 7994), (('model', 'NN'), 7826), (('used', 'VBN'), 6842), (('high', 'JJ'), 6842), (('activity', 'NN'), 6761), (('time', 'NN'), 6643), (('compared', 'VBN'), 6615), (('showed', 'VBD'), 6544), (('energy', 'NN'), 6486), (('new', 'JJ'), 6469), (('significant', 'JJ'), 6281), (('methods', 'NNS'), 6278), (('may', 'MD'), 6093), (('effect', 'NN'), 5944), (('system', 'NN'), 5899), (('based', 'VBN'), 5891), (('clinical', 'JJ'), 5878), (('effects', 'NNS'), 5733), (('observed', 'VBD'), 5699), (('present', 'JJ'), 5668), (('authors', 'NNS'), 5560)]
60003668;[('patient', 14171), ('study', 8970), ('use', 8652), ('cell', 8007), ('result', 7852), ('high', 5752), ('show', 5547), ('data', 5242), ('analysis', 4797), ('significant', 4596), ('model', 4583), ('present', 4129), ('increase', 4081), ('method', 3963), ('effect', 3909), ('group', 3834), ('level', 3737), ('find', 3735), ('treatment', 3636), ('different', 3504), ('observe', 3202), ('compare', 3134), ('disease', 3096), ('measure', 3064), ('low', 3014), ('case', 2929), ('clinic', 2918), ('time', 2867), ('conclusion', 2822), ('associate', 2801)];[(('patients', 'NNS'), 13036), (('results', 'NNS'), 6594), (('study', 'NN'), 4982), (('data', 'NNS'), 4941), (('analysis', 'NN'), 3991), (('cells', 'NNS'), 3982), (('using', 'VBG'), 3883), (('different', 'JJ'), 3423), (('treatment', 'NN'), 3266), (('compared', 'VBN'), 2821), (('model', 'NN'), 2809), (('clinical', 'JJ'), 2760), (('methods', 'NNS'), 2750), (('cell', 'NN'), 2639), (('significant', 'JJ'), 2544), (('authors', 'NNS'), 2501), (('group', 'NN'), 2431), (('production', 'NN'), 2401), (('observed', 'VBD'), 2396), (('associated', 'VBN'), 2390), (('used', 'VBN'), 2385), (('showed', 'VBD'), 2314), (('time', 'NN'), 2284), (('high', 'JJ'), 2278), (('new', 'JJ'), 2273), (('may', 'MD'), 2257), (('risk', 'NN'), 2228), (('effects', 'NNS'), 2169), (('collisions', 'NNS'), 2149), (('levels', 'NNS'), 2112)]
60004300;[('use', 3404), ('result', 2887), ('model', 2769), ('system', 2609), ('study', 2536), ('analysis', 2251), ('show', 2068), ('paper', 1890), ('data', 1875), ('different', 1750), ('propose', 1685), ('present', 1670), ('high', 1662), ('effect', 1509), ('base', 1492), ('approach', 1476), ('energy', 1397), ('method', 1366), ('process', 1319), ('increase', 1304), ('experiment', 1281), ('cell', 1254), ('test', 1237), ('time', 1194), ('structure', 1173), ('performance', 1144), ('provide', 1134), ('find', 1126), ('elsevier', 1117), ('level', 1074)];[(('results', 'NNS'), 2379), (('paper', 'NN'), 1856), (('analysis', 'NN'), 1792), (('data', 'NNS'), 1771), (('different', 'JJ'), 1728), (('model', 'NN'), 1588), (('system', 'NN'), 1585), (('based', 'VBN'), 1378), (('energy', 'NN'), 1364), (('study', 'NN'), 1353), (('using', 'VBG'), 1285), (('approach', 'NN'), 1125), (('used', 'VBN'), 1043), (('systems', 'NNS'), 1024), (('time', 'NN'), 951), (('new', 'JJ'), 930), (('order', 'NN'), 906), (('performance', 'NN'), 902), (('proposed', 'VBN'), 871), (('effects', 'NNS'), 845), (('experimental', 'JJ'), 839), (('high', 'JJ'), 798), (('conditions', 'NNS'), 732), (('present', 'JJ'), 723), (('process', 'NN'), 720), (('rights', 'NNS'), 715), (('control', 'NN'), 714), (('water', 'NN'), 690), (('may', 'MD'), 672), (('authors', 'NNS'), 670)]
60004591;[('patient', 28449), ('study', 21337), ('use', 18927), ('result', 18627), ('show', 14659), ('cell', 14151), ('high', 14000), ('group', 11555), ('analysis', 10808), ('increase', 10446), ('different', 10258), ('significant', 10184), ('find', 10099), ('effect', 10081), ('method', 9936), ('present', 9892), ('data', 9134), ('level', 9008), ('treatment', 8754), ('model', 8703), ('case', 8040), ('low', 7738), ('system', 7238), ('control', 7088), ('structure', 7031), ('test', 7006), ('clinic', 6793), ('time', 6599), ('investigate', 6515), ('compare', 6251)];[(('patients', 'NNS'), 25991), (('results', 'NNS'), 15414), (('study', 'NN'), 11231), (('different', 'JJ'), 10026), (('analysis', 'NN'), 8862), (('data', 'NNS'), 8523), (('treatment', 'NN'), 7773), (('group', 'NN'), 7706), (('using', 'VBG'), 7699), (('cells', 'NNS'), 7117), (('clinical', 'JJ'), 6308), (('methods', 'NNS'), 6103), (('high', 'JJ'), 6101), (('may', 'MD'), 6033), (('levels', 'NNS'), 5881), (('showed', 'VBD'), 5564), (('compared', 'VBN'), 5557), (('used', 'VBN'), 5501), (('time', 'NN'), 5338), (('significant', 'JJ'), 5172), (('effect', 'NN'), 5164), (('present', 'JJ'), 5111), (('model', 'NN'), 5091), (('new', 'JJ'), 5088), (('significantly', 'RB'), 5012), (('found', 'VBD'), 4959), (('effects', 'NNS'), 4906), (('associated', 'VBN'), 4902), (('cell', 'NN'), 4844), (('system', 'NN'), 4676)]
60004969;[('patient', 21243), ('study', 21140), ('result', 18514), ('use', 18245), ('show', 15120), ('high', 13759), ('cell', 13698), ('group', 12632), ('different', 11467), ('effect', 10611), ('present', 10283), ('significant', 10158), ('increase', 10077), ('method', 9969), ('analysis', 9968), ('model', 9936), ('find', 9637), ('structure', 8753), ('data', 8620), ('level', 8199), ('case', 7959), ('system', 7935), ('test', 7920), ('low', 7884), ('treatment', 7216), ('complex', 7119), ('control', 7112), ('time', 6834), ('obtain', 6701), ('observe', 6448)];[(('patients', 'NNS'), 19336), (('results', 'NNS'), 15190), (('different', 'JJ'), 11215), (('study', 'NN'), 11183), (('group', 'NN'), 8558), (('analysis', 'NN'), 8139), (('data', 'NNS'), 8118), (('using', 'VBG'), 7119), (('cells', 'NNS'), 7112), (('treatment', 'NN'), 6316), (('model', 'NN'), 6119), (('may', 'MD'), 5959), (('showed', 'VBD'), 5734), (('high', 'JJ'), 5681), (('methods', 'NNS'), 5662), (('used', 'VBN'), 5524), (('effect', 'NN'), 5481), (('compared', 'VBN'), 5447), (('time', 'NN'), 5348), (('present', 'JJ'), 5308), (('system', 'NN'), 5295), (('significant', 'JJ'), 5273), (('levels', 'NNS'), 5191), (('effects', 'NNS'), 5115), (('activity', 'NN'), 5023), (('new', 'JJ'), 4944), (('clinical', 'JJ'), 4896), (('significantly', 'RB'), 4885), (('presence', 'NN'), 4650), (('observed', 'VBD'), 4642)]
60004975;[('study', 1020), ('result', 732), ('show', 616), ('use', 610), ('model', 530), ('find', 500), ('analysis', 489), ('group', 488), ('high', 476), ('patient', 459), ('child', 430), ('significant', 424), ('italian', 419), ('social', 417), ('relationship', 416), ('effect', 413), ('aim', 390), ('level', 374), ('factor', 348), ('role', 325), ('research', 324), ('value', 322), ('work', 313), ('age', 310), ('different', 309), ('author', 303), ('sample', 299), ('data', 294), ('investigate', 293), ('scale', 292)];[(('results', 'NNS'), 671), (('study', 'NN'), 617), (('italian', 'JJ'), 416), (('patients', 'NNS'), 412), (('social', 'JJ'), 407), (('analysis', 'NN'), 354), (('children', 'NNS'), 339), (('group', 'NN'), 336), (('research', 'NN'), 320), (('model', 'NN'), 316), (('role', 'NN'), 310), (('showed', 'VBD'), 308), (('different', 'JJ'), 296), (('relationship', 'NN'), 280), (('data', 'NNS'), 278), (('significant', 'JJ'), 275), (('among', 'IN'), 261), (('findings', 'NNS'), 259), (('participants', 'NNS'), 257), (('authors', 'NNS'), 256), (('job', 'NN'), 246), (('may', 'MD'), 234), (('personality', 'NN'), 232), (('associated', 'VBN'), 230), (('values', 'NNS'), 229), (('effect', 'NN'), 228), (('levels', 'NNS'), 226), (('paper', 'NN'), 221), (('clinical', 'JJ'), 217), (('health', 'NN'), 213)]
