,ETER ID,English Institution Name,Reference year,Total academic personnel (FTE),Total academic personnel (HC),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,scopus_authors,number_articles,total_eter,state
0,CY0001,University of Cyprus,2019,404,422,6079,1354,639,79,194.0,218.0,8555,Enna
1,IT0001,Marche Polytechnic University,2019,0,797,15831,3267,338,121,5894.0,18103.0,19557,Ancona
2,IT0002,Università della Valle d’Aosta,2019,0,137,1018,266,0,0,70.0,124.0,1284,Aosta
3,IT0003,University of Calabria,2019,0,1000,24637,4549,288,78,4277.0,16005.0,29552,Cosenza
4,IT0004,Polytechnic of Bari,2019,0,389,9910,2000,177,28,1801.0,5942.0,12115,Bari
5,IT0005,University of Bari Aldo Moro,2019,0,1726,44953,8113,537,131,14275.0,45452.0,53734,Bari
6,IT0006,University of Sannio,2019,0,267,4300,877,117,24,758.0,2655.0,5318,Benevento
7,IT0008,University of Bergamo,2019,0,603,21344,4033,188,50,825.0,2393.0,25615,Bergamo
8,IT0009,University of Bologna,2019,0,3727,83551,20714,1631,389,30301.0,99913.0,106285,Bologna
9,IT0010,Free University of Bozen-Bolzano,2019,0,534,3988,729,203,28,712.0,1621.0,4948,Bolzano
10,IT0012,University of Brescia,2019,0,911,15444,2836,243,59,7483.0,21404.0,18582,Brescia
11,IT0013,University of Cagliari,2019,0,1136,26084,4270,336,116,8892.0,29976.0,30806,Cagliari
12,IT0014,University of Camerino,2019,0,437,6828,1160,174,47,2758.0,10011.0,8209,Macerata
13,IT0015,University of Molise,2019,0,424,6946,1694,116,30,1160.0,3651.0,8786,Campobasso
14,IT0017,University of Cassino and Southern Lazio,2019,0,453,7158,1661,101,32,808.0,2785.0,8952,Frosinone
15,IT0019,University of Catania,2019,0,1708,39592,6780,498,97,13465.0,43426.0,46967,Catania
16,IT0020,"University ""Magna Graecia""",2019,0,415,11683,1747,144,0,2096.0,5406.0,13574,Catanzaro
17,IT0022,Kore University of Enna (UKE),2019,0,161,4777,1195,67,13,230.0,533.0,6052,Enna
18,IT0023,University of Ferrara,2019,0,928,23857,3545,362,96,9010.0,29210.0,27860,Vicenza
19,IT0025,University of Florence,2019,0,2046,54610,10540,950,277,21692.0,72413.0,66377,Florence
20,IT0027,University of Foggia,2019,0,412,10959,1874,68,30,1993.0,5780.0,12931,Foggia
21,IT0028,University of Genoa,2019,0,2103,32242,6845,1009,281,20324.0,61054.0,40377,Genova
22,IT0029,University of L'Aquila,2019,0,800,16465,3510,228,57,5516.0,15770.0,20260,L'Aquila
23,IT0030,University of Salento,2019,0,709,17618,3292,267,76,3093.0,9998.0,21253,Lecce
24,IT0032,University of Macerata,2019,0,484,10151,2246,121,39,381.0,846.0,12557,Macerata
25,IT0033,University of Messina,2019,0,1132,23848,4262,323,79,8999.0,30767.0,28512,Messina
26,IT0035,Politecnico di Milano,2019,0,2427,47861,12460,1392,259,11579.0,34236.0,61972,Milano
27,IT0036,Università Cattolica del Sacro Cuore,2019,0,3915,45722,13130,521,132,10159.0,32326.0,59505,Roma
28,IT0038,University of Milan,2019,0,2893,63357,12729,957,235,46902.0,132296.0,77278,Milano
29,IT0039,Vita-Salute San Raffaele University,2019,0,351,3748,830,157,42,2894.0,6806.0,4777,Milano
30,IT0040,University of Milano-Bicocca,2019,0,1322,35083,7715,635,142,7409.0,20253.0,43575,Milano
31,IT0041,Online University San Raffaele Rome,2019,0,146,6844,838,0,0,32.0,53.0,7682,Roma
32,IT0042,University of Modena and Reggio Emilia (UNIMORE),2019,0,1018,28349,5771,428,97,9977.0,31175.0,34645,Modena
33,IT0043,Suor Orsola Benincasa University,2019,0,283,8979,2292,35,9,46.0,71.0,11315,Napoli
34,IT0044,University of Campania Luigi Vanvitelli,2019,0,1140,24261,5248,568,113,7485.0,21431.0,30190,Napoli
35,IT0045,University of Naples Federico II,2019,0,3116,77032,14216,1014,268,18456.0,54133.0,92530,Napoli
36,IT0050,University of Padova,2019,0,3529,63737,14880,1394,394,32024.0,100837.0,80405,Padua
37,IT0051,University of Palermo,2019,0,1870,42118,7893,500,111,14974.0,44735.0,50622,Palermo
38,IT0052,University of Parma,2019,0,1124,28052,5803,431,126,12955.0,38647.0,34412,Parma
39,IT0053,Institute for Advanced Study - IUSS of Pavia,2019,0,54,0,18,66,10,208.0,392.0,94,Pavia
40,IT0054,University of Pavia,2019,0,1658,25322,5522,500,163,16696.0,50562.0,31507,Pavia
41,IT0055,University of Perugia,2019,0,1287,24320,4748,413,94,11612.0,38946.0,29575,Perugia
42,IT0056,University for Foreigners Perugia,2019,0,88,1136,337,26,0,49.0,78.0,1499,Perugia
43,IT0057,Scuola Normale Superiore,2019,0,89,0,0,313,79,2833.0,7892.0,392,Pisa
44,IT0059,University of Pisa,2019,0,2786,46727,9176,840,222,21252.0,68700.0,56965,Pisa
45,IT0060,University of the Basilicata,2019,0,426,6315,929,134,35,2004.0,6645.0,7413,Potenza
46,IT0061,Università Mediterranea of Reggio Calabria,2019,0,287,4899,831,120,37,1340.0,3501.0,5887,Reggio Di Calabria
47,IT0063,Roma Tre University,2019,0,1163,30856,6624,498,153,2970.0,8198.0,38131,Roma
48,IT0065,LUISS Guido Carli,2019,0,1501,11098,3920,87,41,482.0,952.0,15146,Roma
49,IT0066,Free University Maria SS. Assunta (LUMSA),2019,0,405,7182,2168,55,9,218.0,436.0,9414,Roma
50,IT0067,Campus Bio-Medico University,2019,0,214,2605,581,80,15,1684.0,4074.0,3281,Roma
51,IT0068,Sapienza University of Rome,2019,0,3820,109090,21674,2955,878,42039.0,114759.0,134597,Roma
52,IT0069,"University of Rome ""Foro Italico""",2019,0,76,2086,536,32,9,372.0,1150.0,2663,Roma
53,IT0070,University of Rome Tor Vergata,2019,0,1646,29369,7484,1064,280,10734.0,29874.0,38197,Roma
54,IT0072,Marconi University,2019,0,219,11096,2240,139,6,97.0,211.0,13481,Roma
55,IT0075,International Online University UNINETTUNO,2019,0,418,15801,571,16,0,60.0,138.0,16388,Roma
56,IT0077,University of Salerno,2019,0,1229,35738,6322,545,113,4686.0,15861.0,42718,Salerno
57,IT0078,University of Sassari,2019,0,727,13892,2432,220,54,6958.0,20060.0,16598,Sassari
58,IT0079,University of Siena,2019,0,1294,16848,3535,462,102,10223.0,32575.0,20947,Siena
59,IT0081,University of Teramo,2019,0,397,5746,1063,152,39,675.0,2194.0,7000,Teramo
