;title_lemma;title_pos
60000481;[('study', 8545), ('effect', 5628), ('patient', 5362), ('analysis', 4376), ('cell', 4303), ('model', 4297), ('di', 3938), ('use', 3557), ('system', 3130), ('structure', 2943), ('new', 2724), ('disease', 2639), ('italian', 2616), ('case', 2557), ('italy', 2548), ('treatment', 2462), ('human', 2400), ('measurement', 2357), ('cancer', 2266), ('clinic', 2127), ('control', 2065), ('protein', 2060), ('role', 1988), ('approach', 1945), ('complex', 1944), ('property', 1924), ('activity', 1893), ('high', 1721), ('collision', 1671), ('production', 1654)];[(('study', 'NN'), 6781), (('patients', 'NNS'), 4904), (('analysis', 'NN'), 4043), (('effects', 'NNS'), 3058), (('di', 'NN'), 3005), (('new', 'JJ'), 2718), (('italian', 'JJ'), 2574), (('effect', 'NN'), 2569), (('treatment', 'NN'), 2337), (('using', 'VBG'), 2252), (('human', 'JJ'), 2128), (('model', 'NN'), 2094), (('clinical', 'JJ'), 2072), (('case', 'NN'), 1982), (('cancer', 'NN'), 1953), (('cells', 'NNS'), 1953), (('role', 'NN'), 1927), (('disease', 'NN'), 1881), (('properties', 'NNS'), 1866), (('system', 'NN'), 1703), (('cell', 'NN'), 1697), (('activity', 'NN'), 1668), (('italy', 'NN'), 1664), (('production', 'NN'), 1649), (('approach', 'NN'), 1644), (('collisions', 'NNS'), 1639), (('structure', 'NN'), 1596), (('results', 'NNS'), 1579), (('characterization', 'NN'), 1570), (('evaluation', 'NN'), 1476)]
60001400;[('di', 27), ('la', 13), ('il', 13), ('new', 11), ('del', 10), ('italy', 10), ('della', 9), ('century', 8), ('analysis', 7), ('de', 7), ('«', 7), ('»', 7), ('study', 7), ('data', 7), ('environment', 6), ('dei', 6), ('delle', 6), ('southern', 6), ('history', 6), ('una', 5), ('le', 5), ('tra', 5), ('italian', 5), ('cognition', 5), ('memory', 5), ('naples', 5), ('th', 5), ('late', 4), ('age', 4), ('form', 4)];[(('di', 'NN'), 21), (('new', 'JJ'), 11), (('della', 'NN'), 9), (('il', 'NN'), 9), (('la', 'NN'), 8), (('del', 'NN'), 7), (('data', 'NNS'), 7), (('century', 'NN'), 6), (('dei', 'NN'), 6), (('southern', 'JJ'), 6), (('una', 'JJ'), 5), (('italian', 'JJ'), 5), (('study', 'NN'), 5), (('analysis', 'NN'), 5), (('italy', 'NN'), 5), (('naples', 'NNS'), 5), (('»', 'NNP'), 5), (('italy', 'JJ'), 4), (('di', 'FW'), 4), (('la', 'FW'), 4), (('environments', 'NNS'), 4), (('delle', 'NN'), 4), (('production', 'NN'), 4), (('genetic', 'JJ'), 4), (('population', 'NN'), 4), (('comparison', 'NN'), 4), (('history', 'NN'), 4), (('cognitive', 'JJ'), 4), (('effects', 'NNS'), 4), (('voice', 'NN'), 4)]
60001711;[('model', 478), ('analysis', 429), ('system', 378), ('approach', 212), ('effect', 206), ('design', 205), ('study', 203), ('use', 203), ('experiment', 195), ('base', 170), ('control', 169), ('performance', 161), ('power', 159), ('new', 152), ('measurement', 147), ('method', 145), ('italy', 145), ('network', 141), ('italian', 136), ('numerical', 129), ('test', 121), ('energy', 117), ('structure', 112), ('process', 109), ('di', 108), ('detection', 106), ('evaluation', 106), ('application', 99), ('assessment', 98), ('robot', 95)];[(('analysis', 'NN'), 406), (('model', 'NN'), 249), (('systems', 'NNS'), 204), (('approach', 'NN'), 184), (('design', 'NN'), 181), (('system', 'NN'), 174), (('study', 'NN'), 170), (('based', 'VBN'), 159), (('power', 'NN'), 156), (('new', 'JJ'), 152), (('control', 'NN'), 151), (('experimental', 'JJ'), 151), (('using', 'VBG'), 148), (('performance', 'NN'), 147), (('italian', 'JJ'), 135), (('numerical', 'JJ'), 129), (('energy', 'NN'), 109), (('effect', 'NN'), 107), (('detection', 'NN'), 105), (('evaluation', 'NN'), 100), (('effects', 'NNS'), 99), (('method', 'NN'), 93), (('networks', 'NNS'), 91), (('italy', 'NN'), 86), (('di', 'NN'), 84), (('characterization', 'NN'), 82), (('assessment', 'NN'), 81), (('influence', 'NN'), 77), (('treatment', 'NN'), 76), (('case', 'NN'), 76)]
60002838;[('study', 2490), ('patient', 1911), ('cell', 1578), ('effect', 1519), ('di', 1478), ('italy', 1279), ('human', 1182), ('analysis', 1126), ('new', 1103), ('use', 997), ('treatment', 995), ('case', 966), ('structure', 913), ('clinic', 893), ('model', 871), ('italian', 834), ('disease', 810), ('activity', 808), ('cancer', 782), ('system', 754), ('collision', 746), ('synthesis', 739), ('syndrome', 698), ('evaluation', 686), ('search', 676), ('tev', 645), ('del', 633), ('protein', 631), ('della', 628), ('measurement', 587)];[(('study', 'NN'), 1885), (('patients', 'NNS'), 1711), (('di', 'NN'), 1121), (('new', 'JJ'), 1100), (('human', 'JJ'), 1078), (('analysis', 'NN'), 1061), (('treatment', 'NN'), 949), (('clinical', 'JJ'), 877), (('italy', 'NN'), 876), (('effects', 'NNS'), 868), (('italian', 'JJ'), 826), (('case', 'NN'), 756), (('cells', 'NNS'), 753), (('collisions', 'NNS'), 733), (('activity', 'NN'), 729), (('cancer', 'NN'), 694), (('effect', 'NN'), 651), (('evaluation', 'NN'), 651), (('synthesis', 'NN'), 643), (('search', 'NN'), 614), (('using', 'VBG'), 610), (('della', 'NN'), 606), (('cell', 'NN'), 565), (('production', 'NN'), 528), (('structure', 'NN'), 512), (('approach', 'NN'), 506), (('role', 'NN'), 484), (('del', 'NN'), 483), (('disease', 'NN'), 480), (('different', 'JJ'), 479)]
60003003;[('study', 3435), ('effect', 2245), ('cell', 2139), ('patient', 2049), ('analysis', 1651), ('italy', 1505), ('model', 1467), ('di', 1404), ('use', 1358), ('measurement', 1273), ('new', 1229), ('system', 1190), ('search', 1095), ('disease', 1075), ('structure', 1014), ('collision', 1012), ('treatment', 1008), ('activity', 999), ('case', 990), ('decay', 985), ('italian', 944), ('molecule', 942), ('acid', 908), ('cancer', 872), ('property', 833), ('human', 828), ('experiment', 809), ('reaction', 783), ('production', 776), ('tev', 770)];[(('study', 'NN'), 2778), (('patients', 'NNS'), 1873), (('analysis', 'NN'), 1548), (('new', 'JJ'), 1227), (('effects', 'NNS'), 1168), (('cells', 'NNS'), 1090), (('effect', 'NN'), 1077), (('di', 'NN'), 1059), (('search', 'NN'), 1001), (('collisions', 'NNS'), 976), (('treatment', 'NN'), 949), (('italy', 'NN'), 946), (('italian', 'JJ'), 936), (('activity', 'NN'), 888), (('using', 'VBG'), 886), (('case', 'NN'), 832), (('properties', 'NNS'), 817), (('cell', 'NN'), 804), (('cancer', 'NN'), 790), (('production', 'NN'), 774), (('measurement', 'NN'), 748), (('human', 'JJ'), 727), (('model', 'NN'), 724), (('role', 'NN'), 720), (('clinical', 'JJ'), 682), (('synthesis', 'NN'), 660), (('system', 'NN'), 657), (('evaluation', 'NN'), 657), (('characterization', 'NN'), 648), (('disease', 'NN'), 631)]
60003668;[('study', 1229), ('collision', 1209), ('patient', 1144), ('tev', 972), ('cell', 902), ('measurement', 684), ('search', 639), ('production', 599), ('analysis', 523), ('pp', 510), ('effect', 489), ('decay', 474), ('cancer', 464), ('use', 443), ('√s', 418), ('disease', 413), ('human', 382), ('italian', 381), ('model', 341), ('new', 336), ('clinic', 336), ('treatment', 334), ('italy', 330), ('boson', 326), ('protonproton', 321), ('structure', 297), ('di', 294), ('state', 281), ('chronic', 280), ('synthesis', 280)];[(('collisions', 'NNS'), 1202), (('patients', 'NNS'), 1050), (('study', 'NN'), 1047), (('tev', 'NN'), 641), (('search', 'NN'), 601), (('production', 'NN'), 599), (('analysis', 'NN'), 494), (('measurement', 'NN'), 439), (('cells', 'NNS'), 415), (('cancer', 'NN'), 407), (('√s', 'VBP'), 385), (('italian', 'JJ'), 375), (('cell', 'NN'), 359), (('human', 'JJ'), 350), (('new', 'JJ'), 335), (('clinical', 'JJ'), 329), (('treatment', 'NN'), 318), (('disease', 'NN'), 300), (('using', 'VBG'), 289), (('effects', 'NNS'), 288), (('tev', 'VBP'), 270), (('synthesis', 'NN'), 260), (('chronic', 'JJ'), 258), (('role', 'NN'), 256), (('pp', 'NN'), 251), (('cross', 'NN'), 240), (('risk', 'NN'), 222), (('results', 'NNS'), 217), (('di', 'NN'), 215), (('evaluation', 'NN'), 211)]
60004300;[('model', 366), ('analysis', 341), ('system', 317), ('italy', 315), ('effect', 265), ('study', 221), ('use', 189), ('approach', 182), ('southern', 171), ('wave', 162), ('data', 155), ('energy', 152), ('base', 151), ('experiment', 148), ('network', 147), ('performance', 143), ('control', 138), ('cell', 137), ('application', 136), ('gravitation', 132), ('case', 129), ('assessment', 123), ('search', 123), ('protein', 121), ('build', 118), ('dynamic', 113), ('measurement', 111), ('method', 109), ('design', 108), ('structure', 108)];[(('analysis', 'NN'), 317), (('italy', 'NN'), 217), (('study', 'NN'), 193), (('model', 'NN'), 193), (('southern', 'JJ'), 170), (('systems', 'NNS'), 164), (('approach', 'NN'), 163), (('using', 'VBG'), 163), (('effects', 'NNS'), 159), (('system', 'NN'), 153), (('energy', 'NN'), 150), (('data', 'NNS'), 147), (('based', 'VBN'), 144), (('gravitational', 'JJ'), 132), (('performance', 'NN'), 127), (('case', 'NN'), 124), (('control', 'NN'), 118), (('experimental', 'JJ'), 106), (('effect', 'NN'), 106), (('detection', 'NN'), 105), (('search', 'NN'), 105), (('new', 'JJ'), 104), (('design', 'NN'), 95), (('italian', 'JJ'), 90), (('characterization', 'NN'), 89), (('power', 'NN'), 87), (('waves', 'NNS'), 87), (('assessment', 'NN'), 78), (('networks', 'NNS'), 76), (('water', 'NN'), 75)]
60004591;[('study', 3247), ('patient', 2143), ('effect', 2063), ('cell', 1750), ('di', 1564), ('analysis', 1413), ('structure', 1168), ('model', 1071), ('treatment', 1052), ('case', 1013), ('use', 988), ('human', 971), ('system', 962), ('rat', 949), ('italy', 937), ('clinic', 909), ('molecule', 903), ('property', 882), ('new', 881), ('italian', 845), ('disease', 844), ('cancer', 803), ('activity', 711), ('acid', 696), ('receptor', 680), ('approach', 673), ('role', 664), ('surface', 656), ('complex', 653), ('evaluation', 601)];[(('study', 'NN'), 2635), (('patients', 'NNS'), 1939), (('analysis', 'NN'), 1306), (('di', 'NN'), 1203), (('effects', 'NNS'), 1104), (('treatment', 'NN'), 983), (('effect', 'NN'), 959), (('human', 'JJ'), 891), (('clinical', 'JJ'), 884), (('new', 'JJ'), 879), (('properties', 'NNS'), 870), (('italian', 'JJ'), 834), (('cells', 'NNS'), 782), (('cell', 'NN'), 749), (('case', 'NN'), 748), (('cancer', 'NN'), 735), (('role', 'NN'), 647), (('activity', 'NN'), 618), (('italy', 'NN'), 607), (('molecular', 'JJ'), 592), (('disease', 'NN'), 585), (('structure', 'NN'), 583), (('characterization', 'NN'), 581), (('evaluation', 'NN'), 576), (('using', 'VBG'), 569), (('approach', 'NN'), 554), (('della', 'NN'), 539), (('results', 'NNS'), 526), (('system', 'NN'), 520), (('model', 'NN'), 512)]
60004969;[('study', 2762), ('effect', 2195), ('di', 1996), ('structure', 1917), ('cell', 1582), ('patient', 1568), ('analysis', 1376), ('complex', 1299), ('model', 1291), ('synthesis', 1142), ('new', 1057), ('case', 1055), ('use', 1035), ('crystal', 1025), ('system', 1018), ('treatment', 985), ('italy', 962), ('human', 956), ('acid', 882), ('property', 864), ('molecule', 845), ('activity', 805), ('italian', 792), ('del', 792), ('disease', 791), ('della', 735), ('clinic', 728), ('characterization', 718), ('approach', 704), ('evaluation', 646)];[(('study', 'NN'), 2247), (('di', 'NN'), 1555), (('patients', 'NNS'), 1425), (('analysis', 'NN'), 1279), (('structure', 'NN'), 1124), (('effects', 'NNS'), 1118), (('effect', 'NN'), 1077), (('new', 'JJ'), 1055), (('synthesis', 'NN'), 986), (('treatment', 'NN'), 941), (('properties', 'NNS'), 852), (('human', 'JJ'), 846), (('case', 'NN'), 831), (('complexes', 'NNS'), 807), (('italian', 'JJ'), 788), (('cells', 'NNS'), 777), (('model', 'NN'), 742), (('della', 'NN'), 725), (('activity', 'NN'), 717), (('clinical', 'JJ'), 709), (('characterization', 'NN'), 703), (('italy', 'NN'), 667), (('using', 'VBG'), 625), (('del', 'NN'), 621), (('molecular', 'JJ'), 614), (('evaluation', 'NN'), 610), (('approach', 'NN'), 609), (('role', 'NN'), 595), (('cell', 'NN'), 589), (('different', 'JJ'), 566)]
60004975;[('italian', 114), ('role', 98), ('study', 94), ('di', 65), ('child', 64), ('la', 62), ('adolescent', 59), ('disorder', 58), ('model', 55), ('personality', 55), ('social', 54), ('adult', 50), ('relationship', 50), ('value', 44), ('analysis', 42), ('effect', 42), ('de', 42), ('italy', 41), ('covid', 40), ('patient', 40), ('organization', 38), ('use', 36), ('work', 35), ('sample', 34), ('behavior', 34), ('among', 34), ('teacher', 33), ('job', 32), ('evidence', 32), ('il', 31)];[(('italian', 'JJ'), 113), (('role', 'NN'), 91), (('study', 'NN'), 85), (('personality', 'NN'), 55), (('social', 'JJ'), 54), (('children', 'NNS'), 53), (('di', 'NN'), 50), (('adolescents', 'NNS'), 45), (('analysis', 'NN'), 40), (('disorder', 'NN'), 38), (('patients', 'NNS'), 35), (('among', 'IN'), 34), (('relationship', 'NN'), 32), (('job', 'NN'), 32), (('evidence', 'NN'), 31), (('model', 'NN'), 29), (('performance', 'NN'), 28), (('memory', 'NN'), 28), (('values', 'NNS'), 27), (('antiretroviral', 'JJ'), 27), (('research', 'NN'), 26), (('italy', 'NN'), 26), (('teachers', 'NNS'), 26), (('effect', 'NN'), 26), (('clinical', 'JJ'), 26), (('adults', 'NNS'), 25), (('covid', 'NN'), 25), (('emotional', 'JJ'), 25), (('school', 'NN'), 25), (('case', 'NN'), 24)]
